_id,first_name,last_name,email,password,gender,age,ethnicity,householdIncome,politicalParty,timeOnline,survey
user1,Angela,Tan,user1@gmail.com,user1234,2,3,1,3,2,1,"survey1, survey201, survey401, survey601, survey801, survey1001, survey1201, survey1401, survey1601, survey1801, survey2001, survey2201, survey2401, survey2601, survey2801, survey3001, survey3201, survey3401"
user2,Richard,Ang,user2@gmail.com,user1234,1,1,1,1,2,1,"survey2, survey202, survey402, survey602, survey802, survey1002, survey1202, survey1402, survey1602, survey1802, survey2002, survey2202, survey2402, survey2602, survey2802, survey3002, survey3202, survey3402"
user3,Barbara,Chen,user3@gmail.com,user1234,2,2,1,4,1,2,"survey3, survey203, survey403, survey603, survey803, survey1003, survey1203, survey1403, survey1603, survey1803, survey2003, survey2203, survey2403, survey2603, survey2803, survey3003, survey3203, survey3403"
user4,David,Lee,user4@gmail.com,user1234,1,3,1,3,1,1,"survey4, survey204, survey404, survey604, survey804, survey1004, survey1204, survey1404, survey1604, survey1804, survey2004, survey2204, survey2404, survey2604, survey2804, survey3004, survey3204, survey3404"
user5,Jeremy,Kwek,user5@gmail.com,user1234,2,1,2,2,2,1,"survey5, survey205, survey405, survey605, survey805, survey1005, survey1205, survey1405, survey1605, survey1805, survey2005, survey2205, survey2405, survey2605, survey2805, survey3005, survey3205, survey3405"
user6,Kevin,Ang,user6@gmail.com,user1234,2,1,1,1,1,1,"survey6, survey206, survey406, survey606, survey806, survey1006, survey1206, survey1406, survey1606, survey1806, survey2006, survey2206, survey2406, survey2606, survey2806, survey3006, survey3206, survey3406"
user7,John,Tan,user7@gmail.com,user1234,2,2,1,2,1,3,"survey7, survey207, survey407, survey607, survey807, survey1007, survey1207, survey1407, survey1607, survey1807, survey2007, survey2207, survey2407, survey2607, survey2807, survey3007, survey3207, survey3407"
user8,Debra,Lee,user8@gmail.com,user1234,1,2,2,1,1,3,"survey8, survey208, survey408, survey608, survey808, survey1008, survey1208, survey1408, survey1608, survey1808, survey2008, survey2208, survey2408, survey2608, survey2808, survey3008, survey3208, survey3408"
user9,Craig,Lee,user9@gmail.com,user1234,2,2,1,3,2,1,"survey9, survey209, survey409, survey609, survey809, survey1009, survey1209, survey1409, survey1609, survey1809, survey2009, survey2209, survey2409, survey2609, survey2809, survey3009, survey3209, survey3409"
user10,Kathy,Li,user10@gmail.com,user1234,1,2,1,2,1,2,"survey10, survey210, survey410, survey610, survey810, survey1010, survey1210, survey1410, survey1610, survey1810, survey2010, survey2210, survey2410, survey2610, survey2810, survey3010, survey3210, survey3410"
